year,state,forecast,Qf,Rep.visits,Dem.visits,Decisive
2000,Florida,49.5,4.65,10,15.5,4.53
2000,Michigan,51.4,3.57,14.5,9,3.61
2000,California,55.3,3.31,13,5.5,2.72
2000,Pennsylvania,53.3,3.16,14.5,9,3.18
2000,Ohio,48.3,2.89,9.5,5.5,2.79
2000,Missouri,49.5,2.01,11,11,1.95
2000,Tennessee,49.5,2,6.5,4,1.92
2000,Wisconsin,52.5,1.81,9,9,1.77
2000,Washington,52.7,1.72,7,5,1.71
2000,Oregon,51.5,1.32,5.5,5,1.26
2000,Louisiana,48.2,1.25,3.5,3,1.21
2000,Iowa,52.1,1.23,7.5,9,1.13
2000,Illinois,55.4,1.2,12,8,1.19
2000,Arkansas,51.4,1.14,4.5,2.5,1.08
2000,Kentucky,48.1,1.08,3.5,3,1.03
2000,New Mexico,51.2,0.96,5,4,0.86
2000,North Carolina,46,0.77,2.5,1,0.77
2000,New Hampshire,49.4,0.72,3,2,0.63
2000,Georgia,45.9,0.66,0.5,2,0.65
2000,Nevada,48.5,0.6,1.5,1.5,0.54
2000,Arizona,46.6,0.6,1,0,0.58
2000,Colorado,46.5,0.58,0.5,0,0.55
2000,Minnesota,55.3,0.58,2,1.5,0.58
2000,Delaware,50.1,0.58,0.5,0.5,0.49
2000,Connecticut,55.4,0.43,0,0,0.43
2000,Mississippi,45.1,0.4,0,0,0.38
2000,New Jersey,56.7,0.37,1,1.5,0.37
2000,Virginia,44.8,0.34,0,0,0.34
2000,West Virginia,55.1,0.32,3,1,0.29
2000,Indiana,44.2,0.21,0,0,0.22
2000,Maryland,57.6,0.12,0,0,0.13
2000,Maine,58,0.04,3,2.5,0.04
2000,North Dakota,43.3,0.03,0,0,0.03
2000,Alaska,41,0.03,0,0,0.03
2000,Montana,42.9,0.02,0,0,0.02
2000,South Dakota,42.7,0.02,0,0,0.02
2000,Alabama,41.4,0.01,0,0,0.02
2000,Wyoming,39,0.01,0,0,0.01
2000,South Carolina,40.7,0.01,0,0,0.01
2000,Vermont,60.4,0,0,0,0
2000,New York,63.6,0,0,0,0
2000,Hawaii,63.6,0,0,0,0
2000,Oklahoma,37,0,0,0,0
2000,Nebraska,36.9,0,0,0,0
2000,Rhode Island,64.4,0,0,0,0
2000,Kansas,36.6,0,0,0,0
2000,Idaho,35.6,0,0,0,0
2000,Massachusetts,66.6,0,0,0,0
2000,Texas,34.8,0,0,0,0
2000,Utah,33.9,0,0,0,0
2000,D. C.,87,0,0,0,0
2004,Florida,45.3,0.57,27.5,24.5,0.52
2004,Michigan,49.3,0.26,11.5,4,0.18
2004,California,52.1,0,0,1,0.07
2004,Pennsylvania,47,0.48,19,5.5,0.34
2004,Ohio,43.9,0.26,23.5,17.5,0.24
2004,Missouri,44.3,0.14,6,1.5,0.13
2004,Tennessee,42,0.05,0,0,0.05
2004,Wisconsin,46.9,0.21,16.5,12.5,0.16
2004,Washington,50,0.15,0,0,0.1
2004,Oregon,46.8,0.14,2.5,1.5,0.11
2004,Louisiana,40.5,0.01,0.5,0,0.01
2004,Iowa,46,0.13,14,13,0.11
2004,Illinois,53,0.04,0.5,1,0.03
2004,Arkansas,44.2,0.07,0.5,0,0.05
2004,Kentucky,38.3,0,0,0,0
2004,New Mexico,48,0.1,5,5,0.08
2004,North Carolina,42.5,0.09,1,0.5,0.09
2004,New Hampshire,46.6,0.08,4.5,2.5,0.05
2004,Georgia,40.7,0.03,0.5,0,0.03
2004,Nevada,43.9,0.05,5,2,0.04
2004,Arizona,42.5,0.06,2,3,0.05
2004,Colorado,42.6,0.05,5.5,2,0.05
2004,Minnesota,48.2,0.2,9.5,4,0.15
2004,Delaware,52.7,0.02,0,0,0.01
2004,Connecticut,55.4,0.01,0,0,0
2004,Mississippi,37,0,0,0,0
2004,New Jersey,53.6,0.03,1.5,1,0.02
2004,Virginia,42.6,0.08,0,0,0.08
2004,West Virginia,46.5,0.1,3.5,0,0.07
2004,Indiana,39.7,0.01,0,0,0.01
2004,Maryland,54.1,0.02,0,0.5,0.01
2004,Maine,49.8,0.06,1,0.5,0.04
2004,North Dakota,34,0,0,0,0
2004,Alaska,30.2,0,0,0,0
2004,Montana,33.2,0,0,0,0
2004,South Dakota,37.1,0,0,0,0
2004,Alabama,37.4,0,1,0,0
2004,Wyoming,27,0,0.5,0,0
2004,South Carolina,39.7,0.01,0,0,0.01
2004,Vermont,53.2,0.01,0,0,0.01
2004,New York,56.8,0,4,0,0
2004,Hawaii,55.6,0,0.5,0,0
2004,Oklahoma,34.6,0,0.5,0,0
2004,Nebraska,31,0,0,0,0
2004,Rhode Island,62.7,0,0,0,0
2004,Kansas,38.5,0.01,0,0,0.01
2004,Idaho,28.3,0,0,0,0
2004,Massachusetts,64.4,0,0,0,0
2004,Texas,35.7,0,4,0,0
2004,Utah,26.7,0,0,0,0
2004,D. C.,87,0,1.5,0,0
